date,price
28/04/2013,135.3
29/04/2013,141.96
30/04/2013,135.3
01/05/2013,117.0
02/05/2013,103.43
03/05/2013,91.01
04/05/2013,111.25
05/05/2013,116.79
06/05/2013,118.33
07/05/2013,106.4
08/05/2013,112.64
09/05/2013,113.0
10/05/2013,118.78
11/05/2013,113.01
12/05/2013,114.713
13/05/2013,117.18
14/05/2013,114.5
15/05/2013,114.156
16/05/2013,115.5
17/05/2013,123.1
18/05/2013,123.88
19/05/2013,120.501
20/05/2013,122.58
21/05/2013,122.9
22/05/2013,123.0
23/05/2013,125.748
24/05/2013,131.7
25/05/2013,130.77
26/05/2013,134.6
27/05/2013,128.985
28/05/2013,129.179
29/05/2013,132.13
30/05/2013,127.401
31/05/2013,127.98
01/06/2013,129.09
02/06/2013,121.3
03/06/2013,121.16
05/06/2013,121.309
06/06/2013,121.714
07/06/2013,119.0
08/06/2013,110.09
09/06/2013,108.401
10/06/2013,99.7497
11/06/2013,105.99
12/06/2013,108.9
13/06/2013,108.4
14/06/2013,102.769
15/06/2013,98.399
16/06/2013,99.99
17/06/2013,100.42
18/06/2013,102.0
19/06/2013,106.55
20/06/2013,107.9
21/06/2013,110.91
22/06/2013,109.015
23/06/2013,107.25
24/06/2013,108.0
25/06/2013,102.443
26/06/2013,103.691
27/06/2013,103.39
28/06/2013,99.66
29/06/2013,93.3311
30/06/2013,95.3886
01/07/2013,97.504
02/07/2013,89.489
03/07/2013,90.797
04/07/2013,78.8
05/07/2013,78.48
06/07/2013,67.809
07/07/2013,68.0831
08/07/2013,77.502
09/07/2013,76.3915
10/07/2013,77.0
11/07/2013,85.75
12/07/2013,93.804
13/07/2013,88.0622
14/07/2013,95.58
15/07/2013,94.0
16/07/2013,97.301
17/07/2013,98.9796
18/07/2013,97.8
19/07/2013,88.7869
20/07/2013,91.572
21/07/2013,89.28
22/07/2013,90.3672
23/07/2013,91.7024
24/07/2013,94.5806
25/07/2013,94.525
26/07/2013,96.9499
27/07/2013,94.13
28/07/2013,94.005
29/07/2013,98.5759
30/07/2013,101.5
31/07/2013,110.34
01/08/2013,106.23
02/08/2013,101.61
03/08/2013,103.7
04/08/2013,104.86
05/08/2013,106.56
06/08/2013,105.841
07/08/2013,106.75
08/08/2013,101.672
09/08/2013,103.4
10/08/2013,102.71
11/08/2013,103.77
12/08/2013,105.18
13/08/2013,106.068
14/08/2013,111.621
15/08/2013,111.87
16/08/2013,109.867
17/08/2013,112.74
18/08/2013,114.4
19/08/2013,118.782
20/08/2013,120.5
21/08/2013,121.51
22/08/2013,122.499
23/08/2013,120.0
24/08/2013,120.44
25/08/2013,122.0
26/08/2013,122.04
27/08/2013,125.67
28/08/2013,123.02
29/08/2013,123.44
30/08/2013,129.2
31/08/2013,137.76
01/09/2013,138.17
02/09/2013,137.17
03/09/2013,137.51
04/09/2013,135.21
05/09/2013,129.96
06/09/2013,126.13
07/09/2013,123.73
08/09/2013,121.77
09/09/2013,126.4
10/09/2013,127.78
11/09/2013,131.65
12/09/2013,134.22
13/09/2013,135.05
14/09/2013,131.39
15/09/2013,129.95
16/09/2013,131.48
17/09/2013,131.31
18/09/2013,132.06
19/09/2013,130.23
20/09/2013,128.57
21/09/2013,126.78
22/09/2013,128.37
23/09/2013,126.73
24/09/2013,126.09
25/09/2013,127.99
26/09/2013,128.02
27/09/2013,131.84
28/09/2013,133.93
29/09/2013,140.28
30/09/2013,131.65
01/10/2013,132.55
02/10/2013,132.04
03/10/2013,123.07
04/10/2013,128.26
05/10/2013,129.57
06/10/2013,127.56
07/10/2013,128.38
08/10/2013,125.72
09/10/2013,130.9
10/10/2013,129.68
11/10/2013,130.27
12/10/2013,135.35
13/10/2013,135.48
14/10/2013,140.48
15/10/2013,143.89
16/10/2013,143.61
17/10/2013,146.15
18/10/2013,151.34
19/10/2013,170.51
20/10/2013,172.01
21/10/2013,181.41
22/10/2013,193.45
23/10/2013,206.78
24/10/2013,198.8
25/10/2013,172.48
26/10/2013,178.96
27/10/2013,189.83
28/10/2013,198.55
29/10/2013,204.39
30/10/2013,204.2
31/10/2013,203.88
01/11/2013,205.26
02/11/2013,206.89
03/11/2013,212.45
04/11/2013,226.28
05/11/2013,230.63
06/11/2013,260.85
07/11/2013,295.63
08/11/2013,332.02
09/11/2013,358.0
10/11/2013,313.0
11/11/2013,340.55
12/11/2013,355.48
13/11/2013,404.17
14/11/2013,408.84
15/11/2013,424.16
16/11/2013,437.41
17/11/2013,488.36
18/11/2013,580.87
19/11/2013,614.4
20/11/2013,565.34
21/11/2013,675.06
22/11/2013,731.15
23/11/2013,819.31
24/11/2013,764.43
25/11/2013,793.07
26/11/2013,832.93
27/11/2013,914.13
28/11/2013,979.08
29/11/2013,1101.83
30/11/2013,1127.45
01/12/2013,1033.39
02/12/2013,974.03
03/12/2013,1078.64
04/12/2013,1121.48
05/12/2013,989.04
06/12/2013,1019.66
07/12/2013,811.98
08/12/2013,743.11
09/12/2013,897.89
10/12/2013,927.78
11/12/2013,887.08
12/12/2013,878.17
13/12/2013,897.27
14/12/2013,866.99
15/12/2013,854.62
16/12/2013,789.15
17/12/2013,691.65
18/12/2013,559.36
19/12/2013,677.84
20/12/2013,694.25
21/12/2013,596.12
22/12/2013,650.27
23/12/2013,645.75
24/12/2013,659.94
25/12/2013,668.74
26/12/2013,734.59
27/12/2013,734.27
28/12/2013,738.81
29/12/2013,726.47
30/12/2013,760.52
31/12/2013,755.16
01/01/2014,767.74
02/01/2014,772.53
03/01/2014,825.47
04/01/2014,849.14
05/01/2014,919.41
06/01/2014,936.38
07/01/2014,826.5
08/01/2014,838.32
09/01/2014,853.29
10/01/2014,863.3
11/01/2014,905.72
12/01/2014,867.45
13/01/2014,840.96
14/01/2014,838.05
15/01/2014,860.44
16/01/2014,837.98
17/01/2014,812.9
18/01/2014,840.0
19/01/2014,838.17
20/01/2014,869.15
21/01/2014,869.57
22/01/2014,865.03
23/01/2014,846.97
24/01/2014,808.32
25/01/2014,804.39
26/01/2014,853.51
27/01/2014,891.86
28/01/2014,777.0
29/01/2014,816.85
30/01/2014,817.17
31/01/2014,817.93
01/02/2014,832.52
