date,price
04/08/2013,0.00587384
05/08/2013,0.00565258
06/08/2013,0.00466886
07/08/2013,0.00448605
08/08/2013,0.00419553
09/08/2013,0.00427738
10/08/2013,0.00431834
11/08/2013,0.00437208
12/08/2013,0.00439693
13/08/2013,0.0042276
14/08/2013,0.00384587
15/08/2013,0.00332756
16/08/2013,0.0029013
17/08/2013,0.00549521
18/08/2013,0.00619764
19/08/2013,0.00555976
20/08/2013,0.00606081
21/08/2013,0.00633807
22/08/2013,0.0059671
23/08/2013,0.0051352
24/08/2013,0.00552798
25/08/2013,0.00609973
26/08/2013,0.0064659
27/08/2013,0.00641998
28/08/2013,0.00634881
29/08/2013,0.00582002
30/08/2013,0.00604502
31/08/2013,0.00586333
01/09/2013,0.00580064
02/09/2013,0.00562712
03/09/2013,0.00567312
04/09/2013,0.005577
05/09/2013,0.00583863
06/09/2013,0.0059111
07/09/2013,0.006188
08/09/2013,0.00614238
09/09/2013,0.00618881
10/09/2013,0.00585396
11/09/2013,0.00608146
12/09/2013,0.00642623
13/09/2013,0.0065889
14/09/2013,0.00634135
15/09/2013,0.0064294
16/09/2013,0.00704318
17/09/2013,0.00961002
18/09/2013,0.0108464
19/09/2013,0.0111217
20/09/2013,0.0101137
21/09/2013,0.00974518
22/09/2013,0.0104008
23/09/2013,0.0100193
24/09/2013,0.010433
25/09/2013,0.0105899
26/09/2013,0.011676
28/09/2013,0.0143469
29/09/2013,0.0141405
30/09/2013,0.0110409
01/10/2013,0.0119368
02/10/2013,0.00930593
03/10/2013,0.00840092
04/10/2013,0.00946689
05/10/2013,0.0092795
06/10/2013,0.0103753
07/10/2013,0.00933073
08/10/2013,0.00971878
09/10/2013,0.00944168
10/10/2013,0.010089
11/10/2013,0.00906698
12/10/2013,0.00891616
13/10/2013,0.00889263
14/10/2013,0.00853884
15/10/2013,0.00798699
16/10/2013,0.00758473
17/10/2013,0.00776452
18/10/2013,0.00776709
19/10/2013,0.00729291
20/10/2013,0.00753032
21/10/2013,0.00674171
22/10/2013,0.00678454
23/10/2013,0.0074298
24/10/2013,0.00872816
25/10/2013,0.00693994
26/10/2013,0.00630711
27/10/2013,0.00664484
28/10/2013,0.0063276
29/10/2013,0.00593466
30/10/2013,0.00605789
31/10/2013,0.00599734
